date,actual,predicted
6.02.2024 19:00,0,-1.272497905
6.02.2024 20:00,0,-1.017569861
6.02.2024 21:00,0,-0.766449317
6.02.2024 22:00,0,-0.547235282
6.02.2024 23:00,0,-0.392690958
7.02.2024 00:00,0,-0.154475167
7.02.2024 01:00,0,0.006139666
7.02.2024 02:00,0,0.181013667
7.02.2024 03:00,0,0.317415219
7.02.2024 04:00,0,0.478401922
7.02.2024 05:00,0,0.552984972
7.02.2024 06:00,0.02,0.635561411
7.02.2024 07:00,2.13,0.757410327
7.02.2024 08:00,6.46,3.078981551
7.02.2024 09:00,9.09,7.396170327
7.02.2024 10:00,9.88,9.406451124
7.02.2024 11:00,9.85,9.54286866
7.02.2024 12:00,9.87,9.03068202
7.02.2024 13:00,9.87,9.032420995
7.02.2024 14:00,9.03,8.412352603
7.02.2024 15:00,6.34,7.251418758
7.02.2024 16:00,1.92,4.295246593
7.02.2024 17:00,0,-0.115060977
7.02.2024 18:00,0,-1.39864908
7.02.2024 19:00,0,-0.919966915
7.02.2024 20:00,0,-0.649641053
7.02.2024 21:00,0,-0.299019802
7.02.2024 22:00,0,-0.057335286
7.02.2024 23:00,0,0.133755072
8.02.2024 00:00,0,0.376740567
8.02.2024 01:00,0,0.555235592
8.02.2024 02:00,0,0.730225367
8.02.2024 03:00,0,0.855161021
8.02.2024 04:00,0,0.983018453
8.02.2024 05:00,0,1.080638891
8.02.2024 06:00,0.06,0.78414713
8.02.2024 07:00,1.57,1.303184687
8.02.2024 08:00,3.9,2.960595745
8.02.2024 09:00,6.42,5.224257558
8.02.2024 10:00,8.67,7.441298413
8.02.2024 11:00,7.95,9.273900659
8.02.2024 12:00,6.38,7.84937588
8.02.2024 13:00,6.92,5.994147176
8.02.2024 14:00,5.07,6.519007014
8.02.2024 15:00,1.92,0
8.02.2024 16:00,0.41,1.058188555
8.02.2024 17:00,0,-0.078866278
8.02.2024 18:00,0,-0.174066601
8.02.2024 19:00,0,0.044071725
8.02.2024 20:00,0,0.194341328
8.02.2024 21:00,0,0.329747406
8.02.2024 22:00,0,0.450548886
8.02.2024 23:00,0,0.505472979
9.02.2024 00:00,0,0.6496521
9.02.2024 01:00,0,0.699483394
9.02.2024 02:00,0,0.774923836
9.02.2024 03:00,0,0.850022187
9.02.2024 04:00,0,0.892759524
9.02.2024 05:00,0,0.924609143
9.02.2024 06:00,0.07,0.946244535
9.02.2024 07:00,1.78,1.033181906
9.02.2024 08:00,6.23,2.853048075
9.02.2024 09:00,8.7,7.305554908
9.02.2024 10:00,9.8,9.053664852
9.02.2024 11:00,7.78,9.532751603
9.02.2024 12:00,5.7,6.804944418
9.02.2024 13:00,6.11,4.535778485
9.02.2024 14:00,3.63,5.099642298
9.02.2024 15:00,1.98,2.251440714
9.02.2024 16:00,0.61,0.797286395
9.02.2024 17:00,0,-0.367689197
9.02.2024 18:00,0,-0.687647063
9.02.2024 19:00,0,-0.428167658
9.02.2024 20:00,0,-0.25775097
9.02.2024 21:00,0,-0.100551046
9.02.2024 22:00,0,0.043610803
9.02.2024 23:00,0,0.144173791
10.02.2024 00:00,0,0.292953452
10.02.2024 01:00,0,0.394794663
10.02.2024 02:00,0,0.499299542
10.02.2024 03:00,0,0.571771017
10.02.2024 04:00,0,0.640923009
10.02.2024 05:00,0,0.698850488
10.02.2024 06:00,0.06,0.74637382
10.02.2024 07:00,2.19,0.847795853
10.02.2024 08:00,6.25,3.142289675
10.02.2024 09:00,9.09,7.126310501
10.02.2024 10:00,9.86,9.334585721
10.02.2024 11:00,9.82,9.42267963
10.02.2024 12:00,9.87,8.874099262
10.02.2024 13:00,9.81,8.715375481
10.02.2024 14:00,8.84,8.174117807
10.02.2024 15:00,5.9,6.864710306
10.02.2024 16:00,1.85,3.650430347
10.02.2024 17:00,0.03,-0.324047464
10.02.2024 18:00,0,-1.554284492
10.02.2024 19:00,0,-1.063431651
10.02.2024 20:00,0,-0.787837786
10.02.2024 21:00,0,-0.516827694
10.02.2024 22:00,0,-0.276025186
10.02.2024 23:00,0,-0.096995197
11.02.2024 00:00,0,0.096672275
11.02.2024 01:00,0,0.330194877
11.02.2024 02:00,0,0.511048705
11.02.2024 03:00,0,0.643348241
11.02.2024 04:00,0,0.771478267
11.02.2024 05:00,0,0.882340275
11.02.2024 06:00,0.08,0.976322665
11.02.2024 07:00,2.35,1.137211923
11.02.2024 08:00,6.64,3.617386817
